row_id,severity,reason_code,detector,message,evidence,recommended_action,anomaly_score,country,region,category,time_period,total
136,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.807; quarter=3.000; program_for_results_share=1.000,"Review component mix, period changes, and supporting source records.",0.7469295980310114,Pakistan,"MIDDLE EAST, NORTH AFRICA, AFGHANISTAN, AND PAKISTAN",Commitments,2026-Q3,903.0
1382,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,quarter=3.000; log1p_total=1.250; relative_change=-0.956,"Review component mix, period changes, and supporting source records.",0.7426395445414101,Bhutan,SOUTH ASIA,Gross Disbursements,2025-Q3,2.49
2086,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=18.000; year_over_year_change=18.000; log1p_total=4.060,"Review component mix, period changes, and supporting source records.",0.7414511832302293,St. Vincent and the Grenadines,LATIN AMERICA AND CARIBBEAN,Gross Disbursements,FY20,57.0
3236,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,quarter=4.000; log1p_total=3.434; relative_change=2.750,"Review component mix, period changes, and supporting source records.",0.7380726618377793,Jordan,MIDDLE EAST AND NORTH AFRICA,Gross Disbursements,FY19,30.0
1557,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=62.000; log1p_total=4.127; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.736399528718223,"Congo, Republic of",WESTERN AND CENTRAL AFRICA,Commitments,FY25,61.0
1273,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,year_over_year_change=6.643; log1p_total=4.682; quarter=3.000,"Review component mix, period changes, and supporting source records.",0.7264984052597264,"Congo, Republic of",WESTERN AND CENTRAL AFRICA,Gross Disbursements,2026-Q3,107.0
134,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.256; quarter=3.000; disbursement_commitment_ratio=1.424,"Review component mix, period changes, and supporting source records.",0.7257421198841024,Bangladesh,SOUTH ASIA,Commitments,2026-Q3,520.0
1595,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=5.892; relative_change=4.309; quarter=4.000,"Review component mix, period changes, and supporting source records.",0.7251555483286706,IFC,OTHER,Commitments,FY25,361.0
2096,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,relative_change=10.500; year_over_year_change=10.500; log1p_total=4.934,"Review component mix, period changes, and supporting source records.",0.7238605899686227,Honduras,LATIN AMERICA AND CARIBBEAN,Gross Disbursements,FY20,138.0
42,high,MULTIVARIATE_ANOMALY,isolation_forest,Record has an unusual financial profile across multiple signals.,log1p_total=6.692; quarter=3.000; program_for_results_share=0.919,"Review component mix, period changes, and supporting source records.",0.7233370456047639,Uganda,EASTERN AND SOUTHERN AFRICA,Commitments,2026-Q3,805.0
